Date,Consensual,Disturbance,Other,Property,Violent,White-Collar,Total,Temp (F) avg,Event
2015-12-12,60,10.0,42,381,216,45,754.0,52,"Fog , Rain"
2015-12-13,37,5.0,27,365,199,17,650.0,55,"Fog , Rain"
2015-12-14,42,9.0,45,418,179,45,738.0,52,Rain
2015-12-15,69,13.0,41,436,175,57,791.0,41,Rain
2015-12-16,57,9.0,46,393,166,51,722.0,44,Rain
2015-12-17,52,7.0,44,408,155,61,727.0,32,Clear
2015-12-18,51,7.0,38,346,166,43,651.0,28,Snow
2015-12-19,51,7.0,36,359,168,45,666.0,23,Clear
2015-12-20,55,7.0,50,354,192,34,692.0,37,Rain
2015-12-21,39,4.0,38,352,158,58,649.0,47,Rain
2015-12-22,44,4.0,45,408,152,40,693.0,38,Clear
2015-12-23,40,6.0,42,463,156,45,752.0,50,"Fog , Rain , Thunderstorm"
2015-12-24,13,6.0,31,380,196,47,673.0,38,Clear
2015-12-25,12,3.0,29,250,190,14,498.0,38,Clear
2015-12-26,48,6.0,46,326,186,25,637.0,40,"Fog , Rain"
2015-12-27,44,6.0,36,346,173,21,626.0,38,"Rain , Snow"
2015-12-28,22,10.0,38,288,128,28,514.0,35,"Rain , Snow"
2015-12-29,55,5.0,42,330,144,44,620.0,34,Snow
2015-12-30,45,5.0,43,289,175,45,602.0,28,"Fog , Snow"
2015-12-31,28,7.0,37,318,154,64,608.0,25,Snow
2016-01-01,28,8.0,66,317,448,154,1021.0,25,Snow
2016-01-02,34,7.0,41,301,147,43,573.0,26,Clear
2016-01-03,34,2.0,39,341,172,29,617.0,26,Snow
2016-01-04,28,4.0,34,353,155,51,625.0,27,Snow
2016-01-05,45,1.0,42,314,167,54,623.0,25,Clear
2016-01-06,39,2.0,52,321,158,54,626.0,29,Clear
2016-01-07,58,5.0,41,369,178,55,706.0,38,Clear
2016-01-08,59,10.0,47,398,180,48,742.0,39,Rain
2016-01-09,48,4.0,42,329,191,35,649.0,32,"Fog , Rain , Snow"
2016-01-10,39,4.0,53,289,170,38,593.0,13,Snow
2016-01-11,18,3.0,32,280,134,45,512.0,12,Snow
2016-01-12,39,5.0,35,297,128,43,547.0,12,Snow
2016-01-13,46,7.0,52,347,147,52,651.0,12,Snow
2016-01-14,58,6.0,45,366,204,53,732.0,34,Clear
2016-01-15,54,6.0,44,375,199,54,732.0,37,Rain
2016-01-16,48,5.0,45,330,176,44,648.0,20,Clear
2016-01-17,34,1.0,40,250,180,31,536.0,4,Clear
2016-01-18,39,2.0,41,278,118,33,511.0,2,Clear
2016-01-19,39,6.0,46,333,134,51,609.0,9,Clear
2016-01-20,39,9.0,31,333,156,50,618.0,18,Snow
2016-01-21,36,8.0,47,350,151,36,628.0,19,Clear
2016-01-22,69,10.0,34,389,155,42,699.0,25,Snow
2016-01-23,56,4.0,43,390,183,43,719.0,27,Snow
2016-01-24,42,3.0,50,373,181,23,672.0,29,Clear
2016-01-25,41,7.0,49,385,206,53,741.0,33,Rain
2016-01-26,49,8.0,52,313,157,60,639.0,30,"Rain , Snow"
2016-01-27,45,5.0,31,356,165,67,669.0,29,Snow
2016-01-28,130,6.0,44,355,166,49,750.0,34,Clear
2016-01-29,53,8.0,42,421,165,56,745.0,28,Snow
2016-01-30,50,10.0,39,374,218,50,741.0,41,Rain
2016-01-31,37,3.0,45,342,214,23,664.0,41,Rain
2016-02-01,56,7.0,67,385,199,115,829.0,38,Clear
2016-02-02,45,8.0,38,292,156,71,610.0,35,"Fog , Rain , Thunderstorm"
2016-02-03,56,8.0,59,330,170,53,676.0,33,"Fog , Rain , Snow"
2016-02-04,70,5.0,46,310,190,47,668.0,26,Clear
2016-02-05,53,6.0,49,337,165,48,658.0,30,Clear
